更新时间,#genre#
20240625-02-57-37,url


whitelist,#genre#
CCTV1,http://112.123.206.32:808/hls/1/index.m3u8
CCTV1,http://171.8.65.42:808/hls/1/index.m3u8
CCTV3,http://171.8.65.42:808/hls/3/index.m3u8
CCTV4,http://112.123.206.32:808/hls/4/index.m3u8
CCTV4,http://123.112.208.22:4022/rtp/239.3.1.105:8092
CCTV2,http://112.123.206.32:808/hls/2/index.m3u8
CCTV4,http://171.8.65.42:808/hls/4/index.m3u8
CCTV2,http://123.112.208.22:4022/rtp/239.3.1.60:8084
CCTV2,http://171.8.65.42:808/hls/2/index.m3u8
CCTV1,http://123.112.208.22:4022/rtp/239.3.1.129:8008
CCTV4,http://60.164.203.47:808/hls/4/index.m3u8
CCTV3,http://112.123.206.32:808/hls/3/index.m3u8
CCTV1,http://60.164.203.47:808/hls/1/index.m3u8
CCTV3,http://123.112.208.22:4022/rtp/239.3.1.172:8001
CCTV2,http://60.164.203.47:808/hls/2/index.m3u8
CCTV3,http://60.164.203.47:808/hls/3/index.m3u8
CCTV3,http://hikvision.city:880/cctv3.m3u8
CCTV2,http://hikvision.city:880/CCTV-2.m3u8
CCTV1,http://hikvision.city:880/CCTV-1.m3u8
CCTV4,http://hikvision.city:880/CCTV-4.m3u8
